length,slopes
10,0.9170614601551665
11,1.221900001309983
12,1.0832486658962666
13,0.6593417653728132
14,0.3699949980288856
15,0.878570469496197
16,1.4206945793426113
17,1.5953006539274908
18,1.5007778713450985
19,1.3435140860267374
20,1.1509897773483238
21,0.9931236900426598
22,0.7403702411896407
23,0.7472181089457075
24,0.6539590302955052
25,0.6940349109123019
26,0.779843926878124
27,0.8270730910599681
28,0.8855483799706692
29,0.9444341582874055
30,0.8462754861227535
31,0.7804869863281999
32,0.805718659594264
33,0.7327412639157317
34,0.6138378515537939
35,0.6964398138902664
36,0.7148506877593706
37,0.8228848579051422
38,0.7667162736471882
39,0.9238240439543054
40,0.8764545457782493
41,0.9273754556570739
42,0.9316075529394227
43,0.862590423728744
44,0.792638041427084
45,0.7358272125367973
46,0.7008007386266359
47,0.45583767058038394
48,0.49053968144589094
49,0.4802804479375482
50,0.511566359181926
51,0.3631352614620851
52,-1.0904139181279218
53,-0.9729337999202788
54,-0.7788857661887235
55,-1.4952789847316525
56,-1.2465706214192034
57,-1.0380730490748704
58,-0.6947672598616612
59,-0.522735733775721
60,-0.28406260348995993
61,-0.1158915860650448
62,0.003786355193350559
63,0.14710229428193244
64,0.2740360516518904
65,0.28906520721562545
66,0.32860845208850287
67,0.3687648537467414
68,0.28237845451504845
69,0.36938750239141105
70,0.24045197086699555
71,0.20761939147686104
72,0.23654863877167376
73,0.3000808038186
74,0.3583919719182356
75,0.43437577256416793
76,0.4813974766063645
77,0.515248842482052
78,0.2740826405064216
79,0.3497510852722427
80,0.4748911060855643
81,0.7231011778698916
82,0.7433061678679621
83,0.892085077001358
84,0.7897554092040989
85,0.80219420327868
86,0.8453348588305899
87,0.8579177021922588
88,1.0078359669571286
89,1.0281772613883084
90,1.0244891234006772
91,1.317144656583522
92,1.292386394408979
93,1.320974897421503
94,1.168923845141778
95,1.3879642429013699
96,1.3590284239375447
97,1.2196942163536257
98,1.31901496694461
99,1.486270873823523
100,1.8244392252910442
101,1.9946029835079715
102,2.1503460387389968
103,2.1248392820120183
104,2.266364261837485
105,2.331900562679733
106,2.4011532232803496
107,2.5065946896395923
108,2.4953290325942263
109,2.3771443744749434
110,2.2619808697784536
111,2.0777246683886412
112,1.8870830842538413
113,1.7207100856520827
114,1.404246198325298
115,1.209029815282745
116,0.921558649059451
117,-0.4318295110900249
118,-0.7939002800315725
119,-1.1563084528509942
120,-2.1255599019553273
121,-2.518729278605511
122,-2.54113620325671
123,-2.9058835667613465
124,-3.0891510885356737
125,-3.171005503750802
126,-3.1015565705636026
127,-3.1331693234780125
128,-3.1306348559092116
129,-3.0637951535847145
130,-2.992291866116305
131,-2.834228742189908
132,-2.6859767653323887
133,-2.586961305824406
134,-2.4973390278379695
135,-2.3971783494067047
136,-2.250121981078735
137,-2.1787238341120676
138,-2.106690493712991
139,-1.9792971901849525
140,-1.874678131126987
141,-1.827793698381688
142,-1.7920060066630903
143,-1.7042579723135047
144,-1.5953042647684015
145,-1.5494932302853317
146,-1.448301471870332
147,-1.3638463474743074
148,-1.2746776099061237
149,-1.195226035282178
150,-1.1332813257888474
151,-1.0608245378068915
152,-0.9896145182503131
153,-0.9770527581444831
154,-0.9813838271410732
155,-0.9253393745140445
156,-0.8952371422744356
157,-0.8798004446081079
158,-0.8656577343745971
159,-0.8699248619938234
160,-0.8851621756997645
161,-0.9095610916069878
162,-0.9212345301962139
163,-1.0218040424993724
164,-1.0926288837731293
165,-1.1582833505044037
166,-1.2347522790682754
167,-1.3049485054005086
168,-1.3835391304399778
169,-1.4466218273767688
